id,name,river,street,district,id_book,structure,material,shoulder,structure comment,River width,bridge length,left landing,right landing,bridge width,left stair number,left stair treads,right stair number,right stair treads,railing width,elevation difference,paramter comment
SC001-CST,PONTE DELLA COSTITUZIONE O DI CALATRAVA,CANAL GRANDE,PIAZZALE ROMA - FONDAMENTA SANTA LUGIA,SANTA CROCE - CANNAREGIO,SC001-CST,NAN,,,,,,,,,,,,,,,
SC002-MNS,PONTE DEL MONASTERO O DI SANTA CHIARA,RIO NOVO,FONDAMENTA SANTA CHIARA - FONDAMENTA DE LA CROCE Ze,SANTA CROCE,SC002-MNS,,,,,,,,,,,,,,,,
SC003-CRC,PONTE DELA CROCE,RIO DE LA CROCE,FONDAMENTA SAN GIACOMO - FONDAMENTA DE LA CROCE,SANTA CROCE,SC003-CRC,3,2,3,"Struttura in pietra d’Istria,",,,,,,,,,,,,
SC004-TLT,PONTE DEI TOLENTINI,"RIO DEI TOLENTINI, RIO DE LA CROCE",FONDAMENTA CONDULMEA - CAMPO DEI TOLENTINI,SANTA CROCE,SC004-TLT,6,2,2,,1129,1230,67,54,372,10,42,10,42,33.8,0,
SC005-PFT,PONTE DEL PREFETTO Q PAPADOPOLI,RIO NOVO,PIAZZALE ROMA - FONDAMENTA PAPADOPOLI,SANTA CROCE,SC005-PFT,6,other,3,struttura in cemento; spallette a colonnine di pietra d'Istria,2010,4007,976,1015,558,11,146.8,11,146.8,25,1,
SC006-CST,PONTE COSSETTI,RIO DE SANT'ANDREA,PIAZZALE ROMA - CAMPAZZO TRE PONTI,SANTA CROCE,SC006-CST,3,2,2,,796,907,76,90,217,9,28,11,28,27,-32,railing outside: 83
SC007-BCL,PONTE DE LE BURCHIELE O DEI TABACCHI,RIO DE LE BURCHIELE,FONDAMENTA DEI TABACCHI - FONDAMENTA DE LE BURCHIELE,SANTA GROCE,SC007-BCL,3,3,3,,,,,,,,,,,,,
SC008-SMG,PONTE DI SANTA MARIA MAGGIORE,RIO DE SANTA MARIA MAGGIORE,FONDAMENTA SANTA MARIA MAGGIORE - FONDAMENTA DE LE PROCURATIE,SANTA CROCE - DORSODURO,SC008-SMG,3,2,3,,753,837,57,73,177,9,37,9,31,11,,
SC009-RZZ,PONTE DE CA' RIZZI,RIO DE CA' RIZZI,FONDAMENTA SANTA MARIA MAGGIORE - FONDAMENTA DE CÀ RIZZI,SANTA CROCE,SC009-RZZ,3,2,3,,557,914,188,203,197,4,28,4,33,10,-17,
SC010-PRC,PONTE DE CA' RIZZI GIÀ DE LE PROCURATIE,RIO DE SANTA MARIA MAGGIORE,FONDAMENTA DE LA CAZZIOLA - FONDAMENTA SAN MARCO,SANTA CROCE - DORSODURO,SC010-PRC,NAN,2&3,3,stone stairs,,,,,,,,,,,,
SC011-CZL,PONTE DELA CAZZIOLA,RIO DE LA CAZZIOLA,FONDAMENTA DEL PAGAN - FONDAMENTA DE LA CAZZIOLA,SANTA CROCE,SC011-CZL,3,2,3,,872,1112,121,115,401,9,51,9,51,14,-6,
SC012-PGN,PONTE DEL PAGAN,"RIO NOVO, RIO DEI TRE PONTI",FONDAMENTA DEL PAGAN - FONDAMENTA DE La CERERIA,SANTA CROCE - DORSODURO,SC012-PGN,3,2,2,"spallette in pietra, ad angolo",1093,1416,141,181,316,14,46,13,46,30,25,
SC013-TPT,TRE PONTI E PONTE ZUCCATO,"RIO NOVO, RIO DE LE BURCHIELLE, RIO DE SANT'ANDREA","FONDAMENTA DEI TRE PONTI - CAMPAZZO DEI TRE PONTI - PIAZZALE ROMA, FONDAMENTA DEL MAGAZEN - CAMPIELLO DEI LAVADORI DE LANA",SANTA CROGE - DORSODURO,SC013-TPT,NAN,,,"struttura mista in pietra e in legno; tre archi normarli in pietra con spallette in ferro; due archi in legno, dei quali uno a sesto ribassato, l'altro policentrico, con spallette in legno",,,,,,,,,,,,
SC014-SQT,PONTE DEI SQUARTAI,RIO DEL MAGAZEN,FONDAMENTA CONDULMER - FONDAMENTA DEL GAFFARO,SANTA CROCE - DORSODURO,SC014-SQT,6,2,2,,,,,,,,,,,,,
SC015-GFR,PONTE DEL GAFFARO,RIO DEL GAFFARO,FONDAMENTA DEI TOLENTINI - FONDAMENTA DEL GAFFARO,SANTA CROCE — DORSODURO,SC015-GFR,6,2,3,,998,1141,43,80,336,13,37,13,35,28,3,
SC016-MCL,PONTE DE CA' MARCELLO,RIO DEL GAFFARO,FONDAMENTA MINOTTO - FONDAMENTA DEL GAFFARO,SANTA CROCE - DORSODURO,SC016-MCL,3,2,2,,,,,,,,,,,,,
SC017-PTL,PONTE SAN PANTALON,RIO DE SAN PANTALON,RAMO DEL CAMPIELLO MOSCA - CAMPO SAN PANTALON,SANTA CROCE - DORSODURO,SC017-PTL,4,2,3,,,,,,,,,,,,,
SC018-VNT,PONTE VINANTI,RIO DE SAN PANTALON,CALLE VINANTI - CALLE DEI PRETI O DEL FISTOA,SANTA CROCE - DORSODURO,SC018-VNT,NAN,1&2,1,Travata in legno; alcuni gradini in pietra,,,,,,,,,,,,
SC019-SCR,PONTE DE LE SECHERE,RIO DE LE MUNEGHETE,CALLE DE CA' AMAI —- CALLE DE LE SECHERE,SANTA CROCE - SAN POLO,SC019-SCR,3,2,2,,,,,,,,,,,,,
SC020-CNL,PONTE CANAL,"RIO DE SAN ZUAN EVANGELISTA""RIO DE LE MUNEGHETE",CALLE SEGHERA- CALLÊ DE LA LACA,SANTA CROCE - SAN POLO,SC020-CNL,3,2,2,,660,968,181,140,372,10,44,8,45,30,37,
SC021-LTT,PONTE DE LA LATTE,RIO DE SAN ZUAN EVANGELISTA,FONDAMENTA RIO MARIN - FONDAMENTA DE LA LATTE,SANTA CROCE - SAN POLO,SC021-LTT,3,3,3,,,,,,,,,,,,,
SC022-CAS,PONTE DEL CRISTO,"RIO MARIN, RIO DE SAN GIACOMO",FONDAMENTA RIO MARIN - CAMPIELLO DEL CRISTO,SANTA CROCE,SC022-CAS,NAN,,,,628,785,83,87,431,8,36,8,26,22,5,
SC023-CPL,PONTE CAPPELLO O DEI GARZOTI,RIO MARIN,FONDAMENTA RIO MARIN - FONDAMENTA DEI GARZOTI,SANTA CROCE,SC023-CPL,3,2,3,,803,929,97,61,378,10,40,10,39,6,-5,
SC024-BGM,PONTE DE LA BERGAMA O GRANDENIGO,RIO MARIN,CALLE LONGA BEROAMA - CAIVPO SANTO,SANTA CROCE,SC024-BGM,NAN,2&3,3,stone stairs and iron truss,,,,,,,,,,,,
SC025-SCZ,PONTE DEGLI SCALZI,CANAL GRANDE,FONDAMENTA DEI SCALZI - FONDAMENTA SAN SIMEON PICOLO,SANTA CROCE - CANNAREGIO,SC025-SCZ,3,2,2,"Struttura in pietra d’Istria, spallette a colonnine di pietra d’Istria",,,,,,,,,,,,
SC026-BMB,PONTE BEMBOO DE SAN ZAN DEGOLÀ,RIO DE SAN ZAN DEGOLÀ,CALLE DE CA' BEMBO - CAMPO SAN ZAN DEGOLÀ,SANTA CROCE,SC026-BMB,3,2,3,,,,,,,,,,,,,
SC027-DSV,PONTE DEL SAVIO O STORTO,RIO DE SAN ZAN DEGOLÀ,CALLE DEL SAVIO - CAMPIELLO DEL PIOVAN,SANTA CROCE,SC027-DSV,3,2,3,,,,,,,,,,,,,
SC028-RGV,PONTE RUGA VECHIA,RIO DE SAN ZAN DEGOLA,AUGA VECHIA - CAMPIELLO DEL PIOVAN,SANTA CROCE,SC028-RGV,3,2,2,,859,1357,265,265,289,13,40,13,40,21,-7,"{left: {7:100}, right: {7:100}}"
SC029-RGB,PONTE RUGA BELLA  DEL FORNER,"RIO DE SAN ZAN DEGOLÀ, RIO DE SANT'AGOSTIN",RUGA BELLA - CAMPO SAN GIACOMO DA L'ORIO,SANTA CROCE,SC029-RGB,3,2,2,,1047,1397,250,178,259,13,52,12,52,30,34,
SC030-NTM,PONTE DE L'ANATOMIA,RIO DE SANT'AGOSTIN,CORTE DE L'ANATOMIA O FIORENZUOLA - CAMPO SAN GIACOMO DA L'ORIO GIÀ RAMO DE LA VIDA,SANTA CROCE,SC030-NTM,3,2,2,,881,1070,212,98,289,13,41,10,43,30,19,
SC031-DLC,PONTE DELE OCHE,RIO DE SANT'AGOSTIN,CALLE DE LE OCHE,SANTA CROCE,SC031-DLC,3,2,2,,,,,,,,,,,,,
SC032-PRC,PONTE DEL PARUCHETA,RIO DI SAN GIACOMO DA L'ORIO,CALLE DEL TENTOR - RIO TERÀ PRIMO O DEL PARUCHETA,SANTA CROGE - SAN POLO,SC032-PRC,3,2,3,,,,,,,,,,,,,
SC033-BLD,PONTE SAN BOLDO,"RIO DE SAN GIACOMO DA L'ORIO, RIO DE SAN BOLDO",FONDAMENTA DEL PARUCHETA - CAMPO SAN BOLDO,SANTA CHOCE - SAN POLO,SC033-BLD,3,2,2,,,,,,,,,,,,,
SC034-SRT,PONTE STORTO,RIO DE SAN BOLDO,GALLE DEL PONTE STORTO - RAMO DEL PONTE STORTO,SANTA CROCE - SAN POLO,SC034-SRT,3,2,2,,,,,,,,,,,,,
SC035-CLB,PONTE COLOMBO O CARMINATI,RIO DE SAN BOLDO,CALLE COLOMBO —- RAMO DE CA' CARMINATI,SANTA GROGE,SC035-CLB,3,2,2,,,,,,,,,,,,,
SC036-DMG,PONTE DEL MEGIO,"RIO DEL MEGLIO, RIO DE SAN BOLDO",FONDAMENTA DEL MEGIO - RAMO DEL MEGIO,SANTA CROCE,SC036-DMG,2,2,3,,,,,,,,,,,,,
SC037-TTR,PONTE DEL TENTOR,RIO DE CA' TRON,RAMO DEL TENTOR - CALLE DEL TENTOR,SANTA CROCE,SC037-TTR,NAN,,,,,937,315,317,302,9,48,9,45,28,0,
SC038-GVN,PONTE DE CA' GIOVANELLI,RIO DE SAN STAE O DE LA RIODA,CAMPO SAN STAE - SOTOPORTEGO DE CA' GIOVANELLI,SANTA CROCE,SC038-GVN,3,3,3,,526,703,108,113,243,9,32,11,34,4,-32,
SC039-LRD,PONTE DE LA RIODA,RIO DE SAN STAE O DE CA' MOCENIGO,RAMO DE LA RIODA - CAMPIELLO DEL SPEZIER,SANTA CROCE,SC039-LRD,1,2,3,,,,,,,,,,,,,
SC040-MDN,PONTE DEL MODENA,RIO DE SAN BOLDO,CALLE DEL MODENA - SALIZADA DE LA CHIESA,SANTA CROCE - SAN POLO,SC040-MDN,5,2,3,,,,,,,,,,,,,
SC041-STN,PONTE DEL FORNER DETTO DI SANT'ANTONIO,RIO DE SAN BOLDO,CALLE LONGA SANTA MARIA MATER DOMINI - CALLE DEL CRISTO,SANTA CROGE - SAN POLO,SC041-STN,NAN,2&3,3,stone stairs and iron truss,,,,,,,,,,,,
SC042-CRS,PONTE DEL CRISTO O DEL TENTOR,RIO DE LA PERGOLA,CAMPIELLO DEL SPEZIER - CALLE DE LA CHIESA,SANTA CROCE,SC042-CRS,NAN,,,,,,,,,,,,,,,
SC043-FNR,PONTE DEL FORNER,RIO DE LA PERGOLA CEI,CALLE VA AL FORNO — CALLE DEL TIOZZI,SANTA CROCE,SC043-FNR,3,2,2,,,,,,,,,,,,,
SC044-PSA,PONTE DE CA' PESARO,RIO DE LA PERGOLA,CALLE DE CA' PESARO - FONDAMENTA DE CA' PESARO,SANTA CROCE,SC044-PSA,0,2,2,,,,,,,,,,,,,
SC045-AVN,PONTE DEL RAVANO,RIO DE LE DO TORRE,CALLE DEL TIOZZI - CALLE DEL RAVANO,SANTA CROCE,SC045-AVN,1,2,2,,,,,,,,,,,,,
SC046-SMM,PONTE SANTA MARIA MATER DOMINI,RIO DE LE DO TORRE,CAMPO SANTA MARIA MATER DOMINI - RAMO DE LA REGINA,SANTA CROCE,SC046-SMM,3,2,3,,620,959,109,195,251,7,54,9,52,24,-35,
SC047-GNL,PONTE DEL'AGNELLA,RIO DE LE DO TORRE,CALLE DE CA' BONVICINI - CALLE DE L'AGNELLA,SANTA CROCE,SC047-GNL,3,2,3,,,,,,,,,,,,,
SC048-TTT,PONTE DE LE TETTE,RIO DE SAN CASSAN,FONDAMENTA DE LA STUA - FONDAMENTA DE LE TETTE,SANTA CROCE - SAN POLO,SC048-TTT,3,2,2,,,,,,,,,,,,,
SC049-MVS,PONTE GIOVANNI ANDREA DELLA CROCE O DE LA MALVASIA,RIO DE SAN CASSAN,CAMPIELLO GIOVANNI ANDREA DELLA CROCE - CAMPO SAN CASSAN,SANTA CROCE - SAN POLO,SC049-MVS,NAN,,,,,,,,,,,,,,,
SC050-LCS,PONTE DE LA CHIESA O DEI MORTI,RIO DE SAN CASSAN,CALLE DEI MORTI - CAMPO SAN CASSAN,SANTA CROCE - SAN POLO,SC050-LCS,NAN,,,,,,,,,,,,,,,
SP001-LTT,PONTE DE LA LATTE,RIO DE SAN ZUAN EVANGELISTA,FONDAMENTA RIO MARIN - FONDAMENTA DE LA LATTE,SAN POLO - SANTA CROCE,SP001-LTT,3,3,3,,,,,,,,,,,,,
SP002-CNL,PONTE CANAL,"RIO DE SAN ZUAN EVANGELISTA, RIO DE LE MUNEGHETE",CALLE SECHERA -— CALLE DE LA LACA,SAN POLO - SANTA CROCE,SP002-CNL,3,2,2,,,,,,,,,,,,,
SP003-SCR,PONTE DE LE SECHERE,RIO DE LE MUNEGHETE,GALLE DE GA' AMAI — CALLE DE LE SECHERE,SAN POLO - SANTA CROCE,SP003-SCR,,,,,,,,,,,,,,,,
SP004-SCL,PONTE DELLA SCUOLA,RIO DE LA FRESCADA,CALLE DE LA SGUGLA - SOTOPORTEGO DE LA SCUOLA,SAN POLO - DORSODURO,SP004-SCL,3,2,2,,,,,,,,,,,,,
SP005-RCC,PONTE SAN ROCCO,RIO DE LA FRESCADA,CALLE DEL SCALETER - CAMPIELLO SAN ROCCO,SAN POLO - DORSODURO,SP005-RCC,3,2,2,,,,,,,,,,,,,
SP006-DNS,PONTE DELA DONA ONESTA,RIO DE LA FRESCADA,CALLE DE LA DONA ONESTA - FONDAMENTA DEL FORNER,SAN POLO - DORSODURO,SP006-DNS,3,3,3,,,,,,,,,,,,,
SP007-FSD,PONTE DE LA FRESCADA,RIO DE LA FRESCADA,FONDAMENTA DEL FORNER - FONDAMENTA DE LA FRESCADA,SAN POLO - DORSODURO,SP007-FSD,1,2,2,,,,,,,,,,,,,
SP008-TGT,PONTE DEL TRAGHETTO,RIO DE S.TOMA,CALLE DEL TRAGHETTO - CALLE TRAGHETTO VECCHIO,SAN POLO,SP008-TGT,1,2,2,,,,,,,,,,,,,
SP009-STM,PONTE SAN TOMÀ,RIO DE S.TOMA,CALLE DEL SCALETERA - FONDAMENTA S.TOMAÀ,SAN POLO,SP009-STM,4,2,3,,,,,,,,,,,,,
SP010-FRR,PONTE DEI FRARI,RIO DEI FRARI,FONDAMENTA FRARI - CAMPO DEI FRARI,SAN POLO,SP010-FRR,3,2,2,Istrian stone columnar parapets,,,,,,,,,,,,
SP011-SST,PONTE SAN STIN,RIO DE SAN STIN,FONDAMENTA FRARI - FONDAMENTA CONTARINI,SAN POLO,SP011-SST,3,2,3,,,,,,,,,,,,,
SP012-CDN,PONTE CA' DONA,RIO DE SANT'AGOSTIN,CAMPIELLO SANT'AGOSTIN - CALLE DE CÀ DONA O DEL SPEZIER,SAN POLO,SP012-CDN,3,2,3,,,,,,,,,,,,,
SP013-GST,PONTE SANT'AGOSTIN,RIO DE SANT’AGOSTIN,CAMPIELLO SANT'AGOSTIN - SOTOPORTEGO DEL POZZO LONGO,SAN POLO,SP013-GST,3,2,2,,,,,,,,,,,,,
SP014-PRC,PONTE DEL PARUCHETA,RIO DI SAN GIACOMO DA L'ORIO,ALLE DEL TENTOR - RIO TERÀ PRIMO O DEL PARUCHETA,SAN POLO - SANTA CROCE,SP014-PRC,3,2,3,,,,,,,,,,,,,
SP015-BLD,PONTE SAN BOLDO,"RIO DI SAN GIACOMO DA L'ORIO, RIO DE SAN BOLDO",FONDAMENTA DEL PARUCHETA - CAMPO SAN BOLDO,SAN POLO - SANTA CROCE,SP015-BLD,3,2,2,,,,,,,,,,,,,
SP016-SRT,PONTE STORTO,RIO DE SAN BOLDO,CALLE DEL PONTE STORTO - RAMO DEL PONTE STORTO,SAN POLO - SANTA GROCE,SP016-SRT,3,2,2,,,,,,,,,,,,,
SP017-MDN,PONTE DEL MODENA,RIO DE SAN BOLDO,GALLE DEL MODENA - SALIZADA DE LA CHIESA,SAN POLO - SANTA CROCE,SP017-MDN,1,2,3,Sesto acuto,,,,,,,,,,,,
SP018-STN,PONTE DEL FORNER DETTO DI SANT'ANTONIO,RIO DE SAN BOLDO,CALLE LONGA SANTA MARLA MATER DOMINI —- CALLE DEL CRISTO,SAN POLO —- SANTA CROCE,SP018-STN,0,3,3,"Travata in ferro, gradini di pietra, spallette ferro",,,,,,,,,,,,
SP019-BRN,PONTE BERNARDO,RIO DE LE DO TORRE,CALLE DEL SCALETER - CALLE DE CÀ BERNARDO,SAN POLO,SP019-BRN,1,2,3,,,,,,,,,,,,,
SP020-SPL,PONTE SAN POLO,RIO DE SAN POLO,GALLE DEI SAONERI - SALIZADA SAN POLO,SAN POLO,SP020-SPL,3,2,2,"Struttura in pietra d’Istria, spallette a colonnine di pietra d’Istria",,,,,,,,,,,,
SP021-GRM,PONTE CA' GRIMANI,RIO DE LE ERBE,CALLE DEL MAGAZEN — SOTOPORTEGO DOLFIN,SAN POLO,SP021-GRM,1,2,3,,,,,,,,,,,,,
SP022-MDN,PONTE DE LA MADONETA,RIO DE LA MADONETA,CALLE DE LA MADONETA - SOTOPORTEGO DE LA MADONETA,SAN POLO,SP022-MDN,1,2,3,,,,,,,,,,,,,
SP023-CVL,PONTE CAVALLI,RIO DE LA MADONETA,CALLE CAVALLI,SAN POLO,SP023-CVL,5,2,3,,,,,,,,,,,,,
SP024-FTL,PONTE DE LÀ FURATOLA,RIO DE SANT'APONAL,SOTOPORTEGO DE LA FURATOLA - CALLE DE LA FURATOLA,SAN POLO,SP024-FTL,1,2,2,,,,,,,,,,,,,
SP025-MLN,PONTE DEI MELONI,RIO DEI MELONI,"CAMPIELLO DEI MELONI - CALLE DEL PERDON, CALLE DE MEZO",SAN POLO,SP025-MLN,,,,,,,,,,,,,,,,
SP026-SRT,PONTE STORTO,"RIO DE LE BECARIE, RIO DE SANT'APONAL",FONDAMENTA DEL TAMOSSI - RIO TERÀ SANT'APONAL,SAN POLO,SP026-SRT,3,2,3,,,,,,,,,,,,,
SP027-TTT,PONTE DE LE TETTE,RIO DE SAN CASSAN,FONDAMENTA DE LA STUA - FONDAMENTA DE LE TETTE,SAN POLO — SANTA CROCE,SP027-TTT,3,2,2,,,,,,,,,,,,,
SP028-MVS,PONTE GIOVANNI ANDREA DELLA CROCE O DE LA MALVASIA,RIO DE SAN CASSAN,CAMPIELLO GIOVANNI ANDAEA DE LA CROCE - CAMPO SAN CASSAN,SAN POLO- SNTA CROCE,SP028-MVS,3,3,3,,,,,,,,,,,,,
SP029-LGS,PONTE DE LA CHIESA O DEI MORTI,RIO DE SAN CASSAN,CALLE DEI MORTI - CAMPO SAN CASSAN,SAN POLO - SANTA CROCE,SP029-LGS,2,2,3,,,,,,,,,,,,,
SP030-RSP,PONTE RASPI O SANSONI,RIO DE LE BECARIE,CALLE DE CÀ RASPI - CAMPIELLO DEI SANSONI,SAN POLO,SP030-RSP,1,3,3,,,,,,,,,,,,,
SP031-SPD,PONTE DELE DO SPADE,RIO DE LE BECARIE,CALLE DEL CAPELER - CALLE DE LE DO SPADE,SAN POLO,SP031-SPD,4,3,3,,,,,,,,,,,,,
SP032-BCR,PONTE DE LE BECARIE,RIO DE LE BECARIE,CALLE DE LE BECARIE —- CAMPO DE LE BECARIE,SAN POLO,SP032-BCR,3,2,3,,,,,,,,,,,,,
SP033-PSC,PONTE DE LA PESCARIA O DE L'OGIO,RIO DE LE BECARIE,RIVA DE L'OGIO — PESCARIA,SAN POLO,SP033-PSC,3,2,2,,,,,,,,,,,,,
SP034-RLT,PONTE DI RIALTO,CANAL GRANDE,"RIVA DEL VIN, RUGA DEI ORESI - PESCARIA S.BO0RTOLOMIO, RAMO DEI BOMBASERI,","SALIZADA PIO X, FONDAMENTA TRAGHETTO DEL BUSO",SP034-RLT,3,2,2,,,,,,,,,,,,,
